method,role,source_table,checkpoint,late_fusion,clustering,resource_allocation,receiver_policy,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,ap_03,ap_05,ap_07,raw_lidar_mbps,box_mbps,total_mbps,mbps,traffic_type,uses_sgcp_coalition,uses_inter_cluster_late_fusion,uses_raw_lidar_early_fusion,box_sharing_mode,trace_path,baseline_status,paper_usage,notes
Head-only,lower reference,Table2 current diagnostic,attentive,inter_cluster_nms,coalition_game,perception_aware_potential_game,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,0.26,0.22,0.09,0.000000,0.247259,0.247259,0.247259,,yes,yes,no,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\head_only_41f_trace.csv,reference inside SGCP scaffold,Diagnostic lower reference; not protocol-native baseline.,P12 current-protocol Table2 diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12.
Pure late,prediction-sharing reference,Table2 current diagnostic,attentive,prediction_nms,singleton,perception_aware_potential_game,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,0.82,0.76,0.37,0.000000,0.739122,0.739122,0.739122,,no,yes,no,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\pure_late_41f_trace.csv,controlled prediction-sharing reference,Shows strength of box-level sharing; must not be compared as raw-LiDAR scheduler.,P12 current-protocol Table2 diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12. Prediction-box sharing reference; no raw-LiDAR payload.
FullPerception-PCS + global box,normalized PCS scaffold with common box aggregation,Table6 current diagnostic,attentive,global_box_nms,singleton,fullperception_pcs,all-cavs,10,40.0,60.0,ns3,899,0.5,10,12,28,0.83,0.77,0.38,53.544741,0.997776,54.542517,54.542517,raw LiDAR + box overhead,no,yes,yes,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table6_current_protocol_20260722\pcs_global_box_41f_trace.csv,normalized scaffold; not original FullPerception protocol,Diagnostic only; common box aggregation strongly boosts AP.,All 20 CAVs are potential receivers under singleton clustering; the PCS schedule is evaluated with common scene-level box NMS. Current-protocol diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12.
EdgeCooper V2V + global box,deadline-constrained EdgeCooper scaffold with common box aggregation,Table6 current diagnostic,attentive,global_box_nms,singleton,selective_edgecooper_global,all-cavs,10,40.0,60.0,ns3,899,0.5,10,12,28,0.84,0.79,0.37,50.910314,0.915387,51.825701,51.825701,raw LiDAR + box overhead,no,yes,yes,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table6_current_protocol_20260722\edgecooper_global_box_41f_trace.csv,normalized scaffold; not original EdgeCooper protocol,Diagnostic only; common box aggregation strongly boosts AP.,"Uses singleton receiver universe, original EdgeCooper-style greedy endpoint-disjoint matching, and one shared 60ms frame budget. Current-protocol diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12."
RandomBudget,same-scaffold scheduler control,Table3 current diagnostic,attentive,inter_cluster_nms,coalition_game,selective_random,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,0.78,0.74,0.39,62.013627,0.473600,62.487227,62.487227,,yes,yes,yes,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\random_41f_trace.csv,SGCP-compatible scheduler diagnostic,Diagnostic scheduler control under current protocol.,P12 current-protocol Table3 diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12; coalition_game + all-cluster-heads + inter-cluster NMS.
PACP-LiDAR,same-scaffold adapted scheduler proxy,Table3 current diagnostic,attentive,inter_cluster_nms,coalition_game,selective_pacp_lidar,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,0.81,0.79,0.42,86.302377,0.501822,86.804199,86.804199,,yes,yes,yes,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\pacp_lidar_41f_trace.csv,SGCP-compatible scheduler proxy,Diagnostic high-traffic scheduler proxy under current protocol.,P12 current-protocol Table3 diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12; coalition_game + all-cluster-heads + inter-cluster NMS.
SGCP-PAPG strict default,strict default proposed scaffold,Table3 current diagnostic,attentive,inter_cluster_nms,coalition_game,perception_aware_potential_game,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,0.64,0.60,0.25,36.688172,0.357713,37.045885,37.045885,,yes,yes,yes,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\papg_41f_trace.csv,"proposed method diagnostic, unresolved operating point",Not final paper row; Table4 shows N_max=2 dominates this strict default.,P12 current-protocol Table3 diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12; coalition_game + all-cluster-heads + inter-cluster NMS. Strict 60ms NS3-estimator budget reduces PAPG default AP versus legacy scaffold; not paper-ready final Table3.
SGCP-PAPG N_max=2 diagnostic,candidate SGCP operating point from parameter sensitivity,Table4 current diagnostic,attentive,inter_cluster_nms,coalition_game,perception_aware_potential_game,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,0.82,0.77,0.39,59.525463,0.606501,60.131965,60.131965,,yes,yes,yes,broadcast_boxes,docs\doc_workspace\SGCP\artifacts\table4_current_protocol_20260722\nmax2_trace.csv,candidate proposed setting; requires full table reruns,"Promising diagnostic only; if adopted, Table2/3/5/TableA/Figure6 must be rerun around this operating point.",current-protocol cluster-capacity sweep; attentive; 40MHz total bandwidth; 60ms communication deadline; NS3 estimator tb899/slot0.5/prb10/mcs28/symbols12; box communication included when inter-cluster NMS is used.
SGCP-PAPG low-budget cap4000,low-budget proposed operating point,40MHz addendum,attentive,inter_cluster_nms,coalition_game,perception_aware_potential_game,,10,40,60,ns3,899,0.5,10,12,28,0.86,0.77,0.33,51.20,0.70,51.90,51.90,raw LiDAR + box overhead,yes,yes,no,broadcast_boxes,,proposed low-budget addendum,"Useful Pareto point with NS3 replay, but not a replacement for final main operating point.",Same SGCP-PAPG scheduler/clustering/late-fusion scaffold as the proposed method; deterministic per-source point cap 4000 exposes a lower-payload operating point comparable to deadline-constrained EdgeCooper traffic. Raw LiDAR Mbps is 51.20 and box overhead is 0.70 Mbps.
Full 20-CAV early fusion,full raw-sharing upper reference,Table2 current diagnostic,attentive,none,all_in_one,full_sharing,all-cluster-heads,10,40.0,60.0,ns3,899,0.5,10,12,28,0.85,0.83,0.48,118.709323,0.000000,118.709323,118.709323,,no,no,yes,none,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\one_cluster_full_early_41f_trace.csv,"upper reference, not a baseline algorithm",Use only as upper reference.,P12 current-protocol Table2 diagnostic; attentive; 40MHz/10 target subchannels/60ms deadline; ns3 tb899 slot0.5 prb10 mcs28 symbols12.
